;Text;Tags
1;Hi! Update your email id through WhatsApp: https://wa.me/message/SIAJ2QKMIOVEI1 or head to Vi App https://bit.ly/371QhWe. This will help as ID verification in case of any SIM related needs.;['alert']
2;Lucknow ya Kolkata ? - watch it LIVE with Vi cricket pack  RC 499 - 2GB/day+Unlimited Calls+1year Disney+ Hotstar mobile pack. https://bit.ly/VHST1;['promotional']
3;Mohd,Check the incredible Acko insurance policy you just bought on Zomato, and add a nominee to it here https://acko.in/t/zwWJOO Save this link for quick access to your policy.;['transactional']
4;Hi! You can now get your Vi prepaid invoice emailed to you, simply click https://wa.me/message/5GA7LYJN5IETD1 or visit Vi App at https://bit.ly/3IIQ9J8;['transactional']
5;ONLY on Rs299! Recharge NOW with Rs299 & get EXTRA 500MB Data Daily. 299:2GB/Day + Unlimited Calls for 28 Days. Click bit.ly/Vi121NAT;['promotional']
6;<#> 704982 is your Zomato verification code. Enjoy :-) tzq5yFMlr4q;['otp']
7;Received Rs.600.00 in your a/c 91XX3635 from One97 Communications Limited on 6-5-2022.Ref no: 5C05RA03uMM5. Queries? Call 01204456456 :PPBL;['alert','transactional']
8;Count#1: Rs 600 paid by 98XXXX4000 at 12:20 AM. It will settle to your bank by 7 am tomorrow or you can transfer now.Visit b.paytm.me :Paytm;['alert','transactional']
9;<#> 388779 is your Zomato verification code. Enjoy :-) tzq5yFMlr4q;['otp']
10;Rs.209.0 for Vodafone Idea, Mobile Number 9517990472, on 6 May 2022 11:59 PM charged to your Simpl account. Payment may take up to 3 days to reflect in your biller account. You can use the Operator ID UER2205062359280010 to check the status of your transaction with the biller.;['alert','transactional']
11;Rs209 recharged! Enjoy Unlimited Calls to All Networks + 4 GB Data + 100 SMS/Day. Valid for 28 Days. Click bit.ly/GetViApp to check balance,expiry,offers & more;['transactional','promotional']
12;Simpl OTP: 2083 Unless opted-out, you agree to receive Simpl bill reminder via WhatsApp.;['otp']
13;"Dear Mohd salman, Thanks for registering with Zomato. Earn upto Rs. 18000 per month.Join now to get Extra Bonus of 1000. Please download the app and register https://www.zomato.com/deliver-food/?d=t. Watch this video to know more: https://youtu.be/5SpXmdITXDo""";['promotional']
14;Rs.188.0 on Zomato charged via Simpl.Food, groceries, commute, or medicines. Buy Now, Pay Later via Simpl. Know More: https://click.getsimpl.com/vyhm/5b611f85;['transactional']
15;Your verification OTP on Zomato is 869692. -ZOMATO;['otp']
